id,district,lor,street,month,hour,weekday,injury,collision,movement,light_conditions,bicycle,car,pedestrian,motorbike,truck,other_vehicle,road_conditions,longitude,latitude,Combo_type
49090,Reinickendorf,12301203,Wittenau Süd,January,13,Friday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Wet,13.34146,52.58609,bicycle + car + 
49091,Pankow,3040818,Pankow Süd,January,9,Thursday,minor,5,Crossing,Daylight,1,1,0,0,0,0,Dry,13.41356,52.55862,bicycle + car + 
49093,Reinickendorf,12103115,Breitkopfbecken,March,21,Friday,minor,0,Driving,Night,1,0,0,0,0,0,Dry,13.36034,52.57159,bicycle + 
49096,Steglitz-Zehlendorf,6040703,Nikolassee,January,7,Friday,serious,6,Overtaking,Dawn,0,1,1,0,0,0,Wet,13.21777,52.42825,car + pedestrian + 
49097,Tempelhof-Schöneberg,7030303,Grazer Platz,February,15,Tuesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Dry,13.36007,52.47421,car + 
49100,Spandau,5020629,Börnicker Straße,January,7,Thursday,minor,2,Stationary Traffic,Night,0,1,0,0,0,0,Wet,13.19846,52.51273,car + 
49101,Spandau,5020524,Weinmeisterhornweg,January,8,Tuesday,minor,6,Stationary Traffic,Daylight,0,1,1,0,0,0,Dry,13.17891,52.51653,car + pedestrian + 
49105,Friedrichshain-Kreuzberg,2050602,Samariterviertel,January,7,Thursday,minor,6,Turning,Daylight,0,1,1,0,0,0,Wet,13.47323,52.51393,car + pedestrian + 
49106,Spandau,5020524,Weinmeisterhornweg,February,18,Sunday,minor,5,Turning,Night,0,1,0,0,0,0,Dry,13.17905,52.51662,car + 
49109,Tempelhof-Schöneberg,7050502,Fritz-Werner-Straße,January,17,Thursday,minor,3,Turning,Night,0,1,0,0,0,1,Dry,13.38758,52.43879,car + other
49111,Tempelhof-Schöneberg,7040402,Lindenhofsiedlung,January,18,Thursday,minor,2,Stationary Traffic,Night,0,1,0,0,0,1,Dry,13.3659,52.4726,car + other
49114,Charlottenburg-Wilmersdorf,4051551,Brabanter Platz,January,16,Thursday,serious,0,Driving,Night,0,0,0,1,0,0,Dry,13.31159,52.48068,motorbike + 
49115,Charlottenburg-Wilmersdorf,4010101,Jungfernheide,February,12,Friday,minor,2,Stationary Traffic,Daylight,0,0,0,0,1,1,Dry,13.29398,52.53733,truck + other
49118,Mitte,1011204,Leipziger Straße,March,13,Thursday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Dry,13.40141,52.51141,car + 
49121,Charlottenburg-Wilmersdorf,4041133,Güterbahnhof Grunewald,January,17,Wednesday,minor,2,Stationary Traffic,Night,0,1,0,0,0,0,Wet,13.28107,52.49931,car + 
49124,Mitte,1011202,Unter den Linden Nord,January,12,Wednesday,minor,2,Stationary Traffic,Daylight,0,1,0,0,0,0,Wet,13.39389,52.51738,car + 
49125,Pankow,3020209,Niederschönhausen,January,13,Wednesday,minor,5,Crossing,Daylight,0,1,0,0,1,0,Dry,13.40276,52.58075,car + truck + 
49128,Reinickendorf,12103219,Schäfersee,January,17,Wednesday,minor,6,Turning,Night,0,1,1,0,0,0,Wet,13.3642,52.56367,car + pedestrian + 
49131,Treptow-Köpenick,9020601,Schnellerstraße,January,6,Wednesday,minor,3,Stationary Traffic,Night,0,1,0,1,0,0,Wet,13.50644,52.45895,car + motorbike + 
49132,Mitte,1033203,Humboldthain Nordwest,February,6,Saturday,serious,5,Turning,Night,0,1,0,1,0,0,Dry,13.36838,52.54108,car + motorbike + 
49135,Treptow-Köpenick,9010302,Späthsfelde,January,5,Wednesday,minor,3,Stationary Traffic,Night,0,1,0,0,1,0,Wet,13.47591,52.44462,car + truck + 
49136,Mitte,1011202,Unter den Linden Nord,January,11,Sunday,minor,5,Crossing,Daylight,1,0,0,0,0,0,Wet,13.37672,52.51615,bicycle + 
49140,Friedrichshain-Kreuzberg,2050602,Samariterviertel,January,8,Wednesday,minor,5,Crossing,Dawn,1,1,0,0,0,0,Wet,13.46757,52.51436,bicycle + car + 
49141,Reinickendorf,12301203,Wittenau Süd,February,15,Friday,minor,5,Crossing,Daylight,0,1,0,0,0,1,Dry,13.33407,52.59356,car + other
49144,Pankow,3061429,Greifswalder Straße,January,7,Wednesday,minor,6,Overtaking,Night,0,1,1,0,0,0,Wet,13.4457,52.54611,car + pedestrian + 
49147,Charlottenburg-Wilmersdorf,4010103,Paul-Hertz-Siedlung,January,7,Wednesday,minor,2,Stationary Traffic,Night,0,1,0,0,0,0,Wet,13.30205,52.53464,car + 
